method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h6_pulse,86,67,1,217,4.72106,1,3432,10907,-0.148599,-0.0129557,0.285481,0.0420094,0.43768,1.05,1.16767,0.644898,0.505556,0.666667,0.969497,0.622122,0.574243,0.533445,60,176,0.101138,-1,1,1,,
h6_pulse,87,67,1,149,4.19901,1,2641,10302,-0.168002,0.193762,0.215473,-0.3519,0.666987,1.05,1.03671,0.691156,0.508163,0.691156,0.962256,0.810379,0.560384,0.50728,60,176,0.0817558,-1,1,1,,
h6_pulse,88,67,1,188,5.70253,0,2079,10789,-0.179227,-0.0116005,0.250467,0.0292559,0.432241,1.05,1.10938,0.721088,0.54127,0.721088,0.972574,0.619412,0.586103,0.546516,60,176,0.0974033,-1,1,1,,
h6_pulse,89,67,1,216,1.16643,1,4376,10724,-0.113099,0.056489,0.250419,0.0188713,0.367135,1.05,1.10473,0.680272,0.504422,0.680272,0.96307,0.577388,0.5845,0.545164,60,176,0.0876669,-1,1,1,,
h6_pulse,90,67,1,215,0.342276,1,507,10776,-0.211835,0.0282173,0.246486,0.0263128,0.458753,1.05,1.07849,0.798639,0.598299,0.798639,0.986242,0.631054,0.624802,0.585525,60,176,0.0974164,-1,1,1,,
h6_pulse,91,67,1,286,0.37002,1,5732,2121,0.0024662,-0.349248,-0.180822,0.0337963,0.424697,1.05,1.10435,0.752381,0.592177,0.752381,0.977734,0.550312,0.785326,0.754443,60,176,0.0821624,-1,1,1,,
h6_pulse,92,67,1,339,2.36328,1,7784,2722,0.149984,-0.12224,-0.167376,0.0334206,0.35361,1.05,1.02656,0.507483,0.460091,0.508844,0.955105,0.489031,0.537361,0.49921,60,176,0.082813,-1,1,1,,
h6_pulse,93,67,1,128,6.15258,0,4565,10937,-0.109121,-0.093832,0.290137,0.0449381,0.422778,1.05,1.10928,0.601361,0.462245,0.601361,0.925507,0.614338,0.509164,0.474272,60,176,0.0791361,1,1,1,,
h6_pulse,94,67,1,115,1.35527,0,3069,10937,-0.145014,-0.0762701,0.290137,0.0449381,0.451717,1.05,1.10415,0.644898,0.49229,0.644898,0.955739,0.655825,0.538822,0.500892,60,176,0.0790684,1,1,1,,
h6_pulse,95,67,1,290,5.71912,1,4930,11020,-0.0840015,-0.344684,0.303845,0.054204,0.55636,1.05,0.994776,0.787755,0.585034,0.787755,0.996017,0.700066,0.709395,0.679383,60,176,0.0786349,1,1,1,,
h6_pulse,96,67,1,245,3.03399,1,9764,660,0.213862,0.139264,-0.220559,-0.342884,0.64907,1.05,1.04389,0.715646,0.517914,0.717007,0.988595,0.765089,0.586499,0.550984,105,185,0.0882393,-1,1,1,,
h6_pulse,97,67,1,314,2.771,1,8872,342,0.165489,0.126592,-0.215616,-0.0204344,0.40852,1.05,1.04413,0.742857,0.558163,0.742857,0.986785,0.535513,0.611978,0.568711,105,185,0.08375,1,1,1,,
h6_pulse,98,67,1,234,6.03297,0,5227,11020,-0.0575476,-0.365166,0.303845,0.054204,0.553603,1.05,1.1163,0.839456,0.626984,0.839456,0.982259,0.687997,0.738636,0.709592,105,185,0.0741104,-1,1,1,,
h6_pulse,99,67,1,92,3.29752,0,9933,648,0.181533,0.197955,-0.220697,-0.343265,0.674396,1.05,1.02532,0.692517,0.512132,0.692517,0.920981,0.809142,0.55723,0.523297,105,185,0.079734,1,1,1,,
h6_pulse,100,67,1,101,0.213192,0,7045,701,0.119466,0.0452261,-0.204754,0.0159407,0.325636,1.05,1.15064,0.628571,0.479592,0.628571,0.965514,0.508925,0.580808,0.539877,105,185,0.0885122,1,1,1,,
h6_pulse,101,67,1,232,6.15081,1,778,10671,-0.213817,0.0697689,0.254654,0.0200853,0.472036,1.05,1.00044,0.798639,0.598753,0.805442,0.974203,0.627875,0.626915,0.586333,105,185,0.0933634,1,1,1,,
h6_pulse,102,67,1,248,3.23806,1,7771,72,0.147008,0.0944881,-0.231571,-0.000921249,0.390426,1.05,0.968056,0.717007,0.532313,0.717007,0.979001,0.579446,0.59534,0.553285,105,185,0.0803816,-1,1,1,,
