method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
hk_pairs,72,45,1,66,5.70188,0,10754,5939,0.231322,0.19311,0.0334406,0.0661564,0.235139,1.05,1.30523,0.493169,0.443989,0.495902,0.945511,0.418475,0.619938,0.555263,420,145,0.0826698,1,1,1,2,5
hk_pairs,73,45,1,161,1.73212,0,2296,9955,-0.170065,0.173468,0.202683,-0.118843,0.473695,1.05,0.998609,0.756831,0.530624,0.756831,0.987871,0.644629,0.498581,0.445859,420,145,0.0878526,1,1,1,1,7
hk_pairs,74,45,1,233,0.190655,1,5612,5978,-0.00146675,0.233496,0.036871,0.0694427,0.168473,1.05,1.03186,0.554645,0.442737,0.568306,0.945239,0.376874,0.563507,0.490924,420,145,0.0765273,-1,1,1,0,5
hk_pairs,75,45,1,183,2.7907,0,4310,10964,-0.132963,-0.342716,0.284098,0.0404701,0.566507,1.05,1.00183,0.75,0.568534,0.75,0.976919,0.715564,0.693465,0.662635,420,145,0.0899244,-1,1,1,9,4
hk_pairs,76,45,1,222,5.79922,0,3934,6053,-0.151329,-0.294903,0.0478668,0.239101,0.569957,1.05,1.05196,0.648907,0.479394,0.648907,0.983889,0.75121,0.427107,0.364339,420,145,0.0905335,-1,1,1,9,0
hk_pairs,77,45,1,119,1.33934,0,6372,3892,0.07411,-0.000778198,-0.136424,-0.123369,0.243676,1.05,1.03626,0.515027,0.400387,0.525956,0.990405,0.473003,0.48434,0.408813,420,145,0.0872726,-1,1,1,5,7
hk_pairs,78,45,1,331,1.30761,0,6022,224,0.0380592,-0.34828,-0.221721,0.0423927,0.46926,1.05,1.05253,0.491803,0.384563,0.493169,0.939718,0.644631,0.400201,0.333378,420,145,0.0807121,-1,1,1,10,3
hk_pairs,79,45,1,197,0.408641,1,6470,5939,0.0838451,0.227665,0.0334406,0.0661564,0.169409,1.05,0.933959,0.441257,0.396516,0.459016,0.967234,0.365207,0.626113,0.546477,420,145,0.0918227,-1,1,1,0,5
hk_pairs,80,45,1,224,4.86765,0,5733,5978,0.00331974,-0.348007,0.036871,0.0694427,0.418904,1.05,1.04321,0.635246,0.48281,0.637978,0.976466,0.534427,0.559262,0.491451,420,145,0.0876705,-1,1,1,10,5
hk_pairs,81,45,1,198,1.52623,1,4867,10964,-0.088707,-0.363306,0.284098,0.0404701,0.549562,1.05,1.09983,0.785519,0.600182,0.785519,0.986694,0.664185,0.721275,0.692585,420,145,0.0749354,-1,1,1,9,3
hk_pairs,82,45,1,338,4.96907,0,8247,5930,0.16576,-0.127426,0.0371904,-0.349297,0.256578,1.05,0.990303,0.61612,0.510701,0.61612,0.958907,0.414528,0.708305,0.647597,420,145,0.0827787,1,1,1,7,10
